player_id,net_transfers_delta,timestamp
1,10,2025-12-24_07-02-06
2,-3,2025-12-24_07-02-06
3,-1,2025-12-24_07-02-06
4,2,2025-12-24_07-02-06
5,-382,2025-12-24_07-02-06
6,415,2025-12-24_07-02-06
7,442,2025-12-24_07-02-06
8,646,2025-12-24_07-02-06
9,0,2025-12-24_07-02-06
10,-57,2025-12-24_07-02-06
11,-321,2025-12-24_07-02-06
13,3,2025-12-24_07-02-06
14,0,2025-12-24_07-02-06
15,5,2025-12-24_07-02-06
16,-189,2025-12-24_07-02-06
17,31,2025-12-24_07-02-06
18,-28,2025-12-24_07-02-06
19,-68,2025-12-24_07-02-06
20,145,2025-12-24_07-02-06
21,2581,2025-12-24_07-02-06
22,-365,2025-12-24_07-02-06
23,0,2025-12-24_07-02-06
24,-2,2025-12-24_07-02-06
25,0,2025-12-24_07-02-06
26,-9,2025-12-24_07-02-06
28,0,2025-12-24_07-02-06
29,0,2025-12-24_07-02-06
30,-1,2025-12-24_07-02-06
31,-1,2025-12-24_07-02-06
266,-1247,2025-12-24_07-02-06
662,-9,2025-12-24_07-02-06
666,-71,2025-12-24_07-02-06
700,-14,2025-12-24_07-02-06
711,0,2025-12-24_07-02-06
725,-446,2025-12-24_07-02-06
759,0,2025-12-24_07-02-06
32,5,2025-12-24_07-02-06
33,-8,2025-12-24_07-02-06
34,0,2025-12-24_07-02-06
35,0,2025-12-24_07-02-06
36,-257,2025-12-24_07-02-06
37,-58,2025-12-24_07-02-06
38,-85,2025-12-24_07-02-06
39,12,2025-12-24_07-02-06
40,-6,2025-12-24_07-02-06
41,-36,2025-12-24_07-02-06
42,-2,2025-12-24_07-02-06
43,-25,2025-12-24_07-02-06
44,-2,2025-12-24_07-02-06
45,-4,2025-12-24_07-02-06
46,-2,2025-12-24_07-02-06
47,5044,2025-12-24_07-02-06
48,15,2025-12-24_07-02-06
49,0,2025-12-24_07-02-06
50,-31,2025-12-24_07-02-06
51,0,2025-12-24_07-02-06
53,-25,2025-12-24_07-02-06
54,54,2025-12-24_07-02-06
55,-4,2025-12-24_07-02-06
56,0,2025-12-24_07-02-06
57,0,2025-12-24_07-02-06
58,27,2025-12-24_07-02-06
59,26,2025-12-24_07-02-06
60,2,2025-12-24_07-02-06
61,-1,2025-12-24_07-02-06
62,-2,2025-12-24_07-02-06
63,17,2025-12-24_07-02-06
64,-258,2025-12-24_07-02-06
65,-7,2025-12-24_07-02-06
389,-6,2025-12-24_07-02-06
456,2,2025-12-24_07-02-06
677,-1,2025-12-24_07-02-06
688,-2,2025-12-24_07-02-06
701,-1,2025-12-24_07-02-06
702,-1,2025-12-24_07-02-06
703,27,2025-12-24_07-02-06
710,-2,2025-12-24_07-02-06
719,7,2025-12-24_07-02-06
754,-1,2025-12-24_07-02-06
757,0,2025-12-24_07-02-06
768,0,2025-12-24_07-02-06
183,1,2025-12-24_07-02-06
184,-2,2025-12-24_07-02-06
185,14,2025-12-24_07-02-06
186,0,2025-12-24_07-02-06
187,25,2025-12-24_07-02-06
188,18,2025-12-24_07-02-06
189,0,2025-12-24_07-02-06
190,55,2025-12-24_07-02-06
191,-455,2025-12-24_07-02-06
192,-15,2025-12-24_07-02-06
193,0,2025-12-24_07-02-06
194,0,2025-12-24_07-02-06
195,9,2025-12-24_07-02-06
196,-1,2025-12-24_07-02-06
197,26,2025-12-24_07-02-06
198,-46,2025-12-24_07-02-06
199,19,2025-12-24_07-02-06
200,-71,2025-12-24_07-02-06
201,0,2025-12-24_07-02-06
202,-3,2025-12-24_07-02-06
203,-1,2025-12-24_07-02-06
204,0,2025-12-24_07-02-06
205,-4,2025-12-24_07-02-06
206,5,2025-12-24_07-02-06
207,-4,2025-12-24_07-02-06
208,0,2025-12-24_07-02-06
209,0,2025-12-24_07-02-06
210,1,2025-12-24_07-02-06
211,-17,2025-12-24_07-02-06
212,0,2025-12-24_07-02-06
213,-1,2025-12-24_07-02-06
214,18,2025-12-24_07-02-06
