player_id,web_name,first_name,second_name,team,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,form,minutes,status
1,Raya,David,Raya Martín,Arsenal,6.0,36.5,45391,60155,68,3.0,1440,a
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,4.1,0.4,472,830,0,0.0,0,a
3,Hein,Karl,Hein,Arsenal,4.0,0.2,0,407,0,0.0,0,u
4,Setford,Tommy,Setford,Arsenal,3.9,0.2,1771,649,0,0.0,0,a
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,6.2,13.1,1944,105756,81,0.0,990,i
6,Saliba,William,Saliba,Arsenal,5.9,10.7,56829,14234,43,0.8,904,a
7,Calafiori,Riccardo,Calafiori,Arsenal,5.7,9.9,39060,40460,71,2.0,1166,a
8,J.Timber,Jurriën,Timber,Arsenal,6.5,33.1,78181,108006,80,2.6,1287,a
9,Kiwior,Jakub,Kiwior,Arsenal,5.4,0.1,0,30,0,0.0,0,u
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,5.1,1.8,2913,12092,9,0.6,195,a
11,White,Benjamin,White,Arsenal,5.4,2.1,2304,68269,22,3.2,280,d
13,Clarke,Brayden,Clarke,Arsenal,3.8,0.5,2549,1280,0,0.0,0,a
14,Kacurri,Maldini,Kacurri,Arsenal,3.9,0.1,0,195,0,0.0,0,u
15,Nichols,Josh,Nichols,Arsenal,3.8,0.2,481,386,0,0.0,0,a
16,Saka,Bukayo,Saka,Arsenal,10.3,22.8,140965,51078,75,6.0,1058,a
17,Ødegaard,Martin,Ødegaard,Arsenal,7.8,1.6,5458,9816,20,1.4,447,a
18,Madueke,Noni,Madueke,Arsenal,6.8,0.9,6603,9448,16,1.2,420,a
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,6.8,0.9,3930,4758,22,1.2,390,a
20,Trossard,Leandro,Trossard,Arsenal,6.9,0.8,13194,8429,59,3.8,792,a
21,Rice,Declan,Rice,Arsenal,7.1,22.2,133405,118951,86,4.2,1335,a
22,Merino,Mikel,Merino Zazón,Arsenal,6.1,4.0,31703,97974,52,5.8,757,a
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,5.4,0.0,0,10,0,0.0,0,u
24,Nørgaard,Christian,Nørgaard,Arsenal,5.2,0.1,215,338,2,0.0,14,a
25,Nwaneri,Ethan,Nwaneri,Arsenal,5.1,0.1,205,383,8,0.2,165,a
26,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,5.2,2.3,7389,16365,56,1.6,1320,a
28,Kabia,Ismeal,Kabia,Arsenal,4.5,0.1,0,153,0,0.0,0,u
29,Sambi,Albert,Sambi Lokonga,Arsenal,4.5,0.1,0,56,0,0.0,0,u
30,Havertz,Kai,Havertz,Arsenal,7.3,0.3,83,266,1,0.0,30,i
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,6.4,0.2,7264,1865,1,0.2,9,a
