player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.3,28080,32480,4.0,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,310,573,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,303,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1335,640,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.5,2031,47775,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.2,36955,7322,1.6,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.2,34714,11118,2.8,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.5,80485,35206,2.8,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,24,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,1499,8098,0.4,195,a
11,Benjamin White,White,Arsenal,5.2,1.1,49,36838,3.2,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,1739,1243,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,116,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,316,334,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.2,52208,115333,5.8,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,4678,4259,2.0,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,1857,5873,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,1724,3721,1.2,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,0.9,11223,5167,2.0,871,a
21,Declan Rice,Rice,Arsenal,7.2,24.3,245842,21820,5.2,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.3,13291,59760,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,8,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,148,255,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,158,275,0.0,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,5734,7917,1.8,1410,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,83,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,45,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,61,163,0.0,30,i
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,2172,3090,0.4,34,a
266,Eberechi Eze,Eze,Arsenal,7.6,15.1,17272,197475,1.0,991,a
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,9,539,0.4,429,i
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.2,9516,23955,1.8,1015,a
700,Max Dowman,Dowman,Arsenal,4.3,0.4,1281,2929,0.0,27,i
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,28,40,0.0,0,a
725,Piero Hincapié,Hincapie,Arsenal,5.5,3.1,20486,6457,5.2,563,d
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,67,59,0.0,0,a
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.1,5631,13670,2.8,1170,a
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,320,707,0.4,360,a
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,158,0.0,0,u
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,11,0.0,0,u
36,Matty Cash,Cash,Aston Villa,4.9,13.1,34691,53135,4.2,1502,a
37,Lucas Digne,Digne,Aston Villa,4.5,1.7,2686,7509,2.0,1002,a
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.6,9873,17000,2.8,1415,a
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,2311,1078,1.2,521,a
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,33,1106,0.0,497,i
41,Pau Torres,Pau,Aston Villa,4.3,0.4,73,5018,2.0,952,i
42,Andrés García,A.García,Aston Villa,3.9,0.2,370,463,0.0,0,a
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,3204,0.0,0,u
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.6,1076,1577,0.6,320,a
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,199,424,0.0,0,a
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,148,0.0,0,u
47,Morgan Rogers,Rogers,Aston Villa,7.2,19.1,598497,19602,8.2,1516,a
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.7,4491,2444,2.8,781,a
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,45,0.0,0,u
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,1960,5475,2.0,561,a
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,14,0.0,0,u
53,Donyell Malen,Malen,Aston Villa,5.1,0.8,2662,6280,2.4,529,a
54,John McGinn,McGinn,Aston Villa,5.4,0.7,5890,2892,3.8,1317,a
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,12,129,0.2,114,i
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,13,0.0,0,u
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.6,8331,4622,5.2,1157,a
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,4817,2602,4.0,810,a
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,709,683,0.0,0,a
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,118,0.0,0,u
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,158,154,0.0,0,a
63,Kadan Young,Young,Aston Villa,4.3,0.7,3913,1843,0.0,0,a
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.3,6914,38431,5.2,1267,a
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,369,0.0,0,u
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,48,769,0.0,97,d
456,Jadon Sancho,Sancho,Aston Villa,5.8,0.2,449,441,0.4,126,a
677,Evann Guessand,Guessand,Aston Villa,6.2,0.0,9,414,1.8,511,n
688,James Wright,Wright,Aston Villa,3.9,0.6,1179,961,0.0,0,a
701,Triston Rowe,Rowe,Aston Villa,4.0,0.1,0,102,0.0,0,u
702,Bradley Burrowes,Burrowes,Aston Villa,4.4,0.1,88,123,0.0,16,a
703,Sam Proctor,Proctor,Aston Villa,3.9,0.6,6613,1415,0.0,0,a
710,Travis Patterson,Patterson,Aston Villa,3.9,0.2,125,420,0.0,0,a
719,Victor Lindelöf,Lindelöf,Aston Villa,4.5,0.1,691,225,1.4,205,a
754,George Hemmings,George Hemmings,Aston Villa,4.5,0.0,53,28,0.0,0,a
757,Ronnie Hollingshead,Hollingshead,Aston Villa,4.0,0.0,61,34,0.0,0,a
768,Leon Routh,Leon Routh,Aston Villa,4.0,0.0,31,3,0.0,0,a
183,Max Weiß,Weiss,Burnley,4.3,0.1,144,199,0.0,0,a
184,Etienne Green,Green,Burnley,4.0,0.2,0,322,0.0,0,u
185,Václav Hladký,Hladký,Burnley,3.9,0.2,411,242,0.0,0,a
186,Connor Roberts,Roberts,Burnley,4.4,0.0,8,38,0.0,0,i
187,Kyle Walker,Walker,Burnley,4.4,1.2,1754,1667,1.4,1426,a
188,Hannes Delcroix,Delcroix,Burnley,3.8,0.3,1006,666,0.0,0,a
189,Owen Dodgson,Dodgson,Burnley,4.0,0.0,0,8,0.0,0,u
