player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,36.2,7331,14652,3.7,1620,a,-287,0.0,-287.0,-287.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,89,177,0.0,0,a,-5,0.0,-146.0,-216.5
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,68,0.0,0,u,-2,0.0,-98.0,-177.0
4,Tommy Setford,Setford,Arsenal,3.9,0.3,367,196,0.0,0,a,7,0.0,0.0,-132.75
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.6,39537,7075,0.2,1009,a,2378,0.0,794.3333333333334,52.66666666666667
6,William Saliba,Saliba,Arsenal,5.9,11.5,11988,4367,1.7,1084,a,275,0.0,886.6666666666666,287.4
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.3,4314,19267,2.3,1256,d,-1125,0.0,509.3333333333333,418.4666666666667
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.0,9705,89083,2.3,1377,d,-5541,0.0,-2130.333333333333,12.00000000000009
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,11,0.0,0,u,-1,0.0,-2222.333333333333,-432.4666666666665
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,582,1673,0.5,265,a,-22,0.0,-1854.6666666666667,-962.2666666666667
11,Benjamin White,White,Arsenal,5.2,0.9,7,6464,2.7,280,i,-196,0.0,-73.0,-1154.2
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,239,347,0.0,0,a,-4,0.0,-74.0,-1270.8666666666666
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,26,0.0,0,u,-2,0.0,-67.33333333333333,-858.2666666666667
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,45,103,0.0,0,a,-2,0.0,-2.6666666666666665,-414.3333333333333
16,Bukayo Saka,Saka,Arsenal,10.3,21.8,16837,23240,6.0,1238,a,-256,0.0,-86.66666666666667,-60.733333333333334
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.7,5202,861,3.3,624,a,158,0.0,-33.333333333333336,-52.8
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,443,1551,0.8,420,a,-53,0.0,-50.333333333333336,-48.06666666666667
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,208,1174,1.2,408,a,-15,0.0,30.0,-28.6
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,2107,3137,2.0,952,a,-51,0.0,-39.66666666666666,-36.0
21,Declan Rice,Rice,Arsenal,7.2,26.0,41778,12090,5.2,1515,a,839,0.0,257.6666666666667,32.866666666666674
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.1,2838,13687,4.5,849,a,-396,0.0,130.66666666666666,65.66666666666667
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,2,0.0,0,u,0,0.0,147.66666666666666,105.26666666666668
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,58,69,0.0,14,a,2,0.0,-131.33333333333334,73.0
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,43,74,0.0,165,a,-4,0.0,-0.6666666666666666,80.8
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,996,2605,1.8,1500,a,-75,0.0,-25.666666666666668,24.133333333333333
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,26,0.0,0,u,-2,0.0,-27.0,-7.399999999999999
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,11,0.0,0,u,0,0.0,-25.666666666666668,-42.06666666666666
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,37,56,0.0,30,d,0,0.0,-0.6666666666666666,-15.933333333333328
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,552,845,0.5,53,a,-15,0.0,-5.0,-16.799999999999994
266,Eberechi Eze,Eze,Arsenal,7.6,13.7,2814,63843,0.8,991,a,-2285,0.0,-766.6666666666666,-164.99999999999997
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,4,112,0.3,429,i,-6,0.0,-768.6666666666666,-313.3333333333333
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.1,1592,8690,1.8,1085,a,-279,0.0,-856.6666666666666,-479.5333333333333
700,Max Dowman,Dowman,Arsenal,4.3,0.4,295,756,0.0,27,i,-11,0.0,-98.66666666666669,-499.1333333333333
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,6,14,0.0,0,a,0,0.0,-96.66666666666669,-517.4666666666666
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.5,1284,9116,4.5,653,a,-163,0.0,-58.0,-375.7333333333333
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,22,27,0.0,0,a,0,0.0,-54.333333333333336,-232.86666666666665
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.2,2875,2528,2.7,1260,a,50,0.0,-37.66666666666666,-69.06666666666665
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,39,229,0.3,360,a,-3,0.0,15.666666666666666,-46.199999999999974
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,39,0.0,0,u,-1,0.0,15.333333333333334,-23.799999999999976
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,5,0.0,0,u,0,0.0,-1.3333333333333333,-12.466666666666644
36,Matty Cash,Cash,Aston Villa,4.9,12.7,7279,43602,3.7,1592,s,-4148,0.0,-1383.0,-278.19999999999993
37,Lucas Digne,Digne,Aston Villa,4.5,1.7,772,2626,1.8,1009,a,-41,0.0,-1396.3333333333333,-549.9333333333332
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.5,2825,5425,3.0,1505,a,39,0.0,-1383.3333333333333,-829.7333333333332
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,675,401,1.3,603,a,21,0.0,6.333333333333333,-831.5333333333332
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,15,305,0.0,497,i,-7,0.0,17.666666666666668,-827.7333333333332
41,Pau Torres,Pau,Aston Villa,4.3,0.4,15,1500,1.7,952,i,-62,0.0,-16.0,-554.3333333333333
42,Andrés García,A.García,Aston Villa,3.9,0.2,82,175,0.0,0,a,-5,0.0,-24.666666666666668,-279.99999999999994
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,771,0.0,0,u,-30,0.0,-32.333333333333336,-9.799999999999955
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,223,425,0.7,327,a,-7,0.0,-14.0,-13.866666666666623
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,51,102,0.0,0,a,-1,0.0,-12.666666666666666,-19.933333333333287
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,34,0.0,0,u,-2,0.0,-3.333333333333333,-17.399999999999952
47,Morgan Rogers,Rogers,Aston Villa,7.4,22.5,105565,14751,7.0,1606,a,2179,0.0,725.3333333333334,132.60000000000005
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.8,1847,713,3.5,871,a,96,0.0,757.6666666666666,290.6
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,13,0.0,0,u,0,0.0,758.3333333333334,445.0666666666667
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,476,1344,2.2,619,a,-35,0.0,20.33333333333333,451.6666666666667
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,2,0.0,0,u,0,0.0,-11.666666666666666,450.0000000000001
