player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date,net_transfers_delta,price_change,velocity,trend_score
1,David Raya Martín,Raya,Arsenal,6.0,35.5,19781,55859,3.7,1620,a,2025-12-30,-1048,0.0,-1048.0,-1048.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,246,497,0.0,0,a,2025-12-30,-5,0.0,-526.5,-787.25
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,204,0.0,0,u,2025-12-30,-3,0.0,-352.0,-642.1666666666666
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1071,606,0.0,0,a,2025-12-30,2,0.0,-2.0,-482.125
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.3,14.1,201650,11472,0.2,1009,a,2025-12-30,4097,0.0,1365.3333333333333,-112.63333333333335
6,William Saliba,Saliba,Arsenal,5.9,11.6,39715,15471,1.7,1084,a,2025-12-30,321,0.0,1473.3333333333333,391.6333333333333
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.6,5471,86386,2.3,1256,d,2025-12-30,-1961,0.0,819.0,660.7333333333333
8,Jurriën Timber,J.Timber,Arsenal,6.4,29.4,12467,429586,2.3,1377,d,2025-12-30,-9361,0.0,-3667.0,-2.266666666666697
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,21,0.0,0,u,2025-12-30,0,0.0,-3774.0,-756.6666666666667
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,1655,5261,0.5,265,a,2025-12-30,-87,0.0,-3149.333333333333,-1659.6
11,Benjamin White,White,Arsenal,5.1,0.7,27,20885,2.7,280,i,2025-12-30,0,0.0,-29.0,-1960.0666666666664
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,670,1113,0.0,0,a,2025-12-30,-9,0.0,-32.0,-2130.2666666666664
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,74,0.0,0,u,2025-12-30,-1,0.0,-3.333333333333333,-1397.5333333333333
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,137,287,0.0,0,a,2025-12-30,-1,0.0,-3.6666666666666665,-643.4666666666666
16,Bukayo Saka,Saka,Arsenal,10.3,21.3,45029,82912,6.0,1238,a,2025-12-30,-1483,0.0,-495.0,-112.6
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.8,14406,2765,3.3,624,a,2025-12-30,147,0.0,-445.6666666666667,-195.93333333333334
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,826,4837,0.8,420,a,2025-12-30,-81,0.0,-472.3333333333333,-284.0
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,922,2674,1.2,408,a,2025-12-30,-19,0.0,15.666666666666666,-280.2
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,5748,9811,2.0,952,a,2025-12-30,-166,0.0,-88.66666666666667,-297.2
21,Declan Rice,Rice,Arsenal,7.2,26.2,116727,42848,5.2,1515,a,2025-12-30,911,0.0,242.0,-149.8
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.8,7102,43033,4.5,849,a,2025-12-30,-751,0.0,-2.0,-61.06666666666666
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,4,0.0,0,u,2025-12-30,0,0.0,53.333333333333336,44.06666666666667
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,146,182,0.0,14,a,2025-12-30,0,0.0,-250.33333333333331,-9.133333333333326
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,90,203,0.0,165,a,2025-12-30,-3,0.0,-1.0,8.400000000000006
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,2659,8544,1.8,1500,a,2025-12-30,-120,0.0,-41.0,-48.199999999999996
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,63,0.0,0,u,2025-12-30,-3,0.0,-42.0,-56.2
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,18,0.0,0,u,2025-12-30,0,0.0,-41.0,-75.06666666666665
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,99,123,0.0,30,d,2025-12-30,9,0.0,2.0,-24.6
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,1215,2543,0.5,53,a,2025-12-30,-33,0.0,-8.0,-26.0
266,Eberechi Eze,Eze,Arsenal,7.5,12.7,5670,182946,0.8,991,a,2025-12-30,-2819,0.0,-947.6666666666666,-207.33333333333331
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,12,250,0.3,429,i,2025-12-30,0,0.0,-950.6666666666666,-389.06666666666666
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,9.9,3859,25751,1.8,1085,a,2025-12-30,-451,0.0,-1090.0,-598.8666666666666
700,Max Dowman,Dowman,Arsenal,4.3,0.4,875,1965,0.0,27,i,2025-12-30,0,0.0,-150.33333333333334,-629.3333333333333
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,19,34,0.0,0,a,2025-12-30,1,0.0,-150.0,-657.7333333333333
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.3,5809,31923,4.5,653,a,2025-12-30,-620,0.0,-206.33333333333331,-509.4666666666667
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,53,76,0.0,0,a,2025-12-30,-1,0.0,-206.66666666666663,-360.66666666666663
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.1,8233,8247,2.7,1260,a,2025-12-30,-29,0.0,-216.66666666666663,-185.99999999999997
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,110,730,0.3,360,a,2025-12-30,-11,0.0,-13.666666666666666,-158.66666666666666
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,135,0.0,0,u,2025-12-30,-2,0.0,-14.0,-131.46666666666664
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,9,0.0,0,u,2025-12-30,0,0.0,-4.333333333333333,-91.06666666666665
36,Matty Cash,Cash,Aston Villa,4.9,10.6,8526,263285,3.7,1592,s,2025-12-30,0,0.0,-0.6666666666666666,-49.86666666666666
