player_id,timestamp,net_now,net_prev,velocity
1,2025-12-22_13-48-26,323,0,-323
2,2025-12-22_13-48-26,-31,0,31
3,2025-12-22_13-48-26,-25,0,25
4,2025-12-22_13-48-26,11,0,-11
5,2025-12-22_13-48-26,-3327,0,3327
6,2025-12-22_13-48-26,2237,0,-2237
7,2025-12-22_13-48-26,1828,0,-1828
8,2025-12-22_13-48-26,4804,0,-4804
9,2025-12-22_13-48-26,0,0,0
10,2025-12-22_13-48-26,-552,0,552
11,2025-12-22_13-48-26,-2335,0,2335
13,2025-12-22_13-48-26,-3,0,3
14,2025-12-22_13-48-26,-8,0,8
15,2025-12-22_13-48-26,0,0,0
16,2025-12-22_13-48-26,-1838,0,1838
17,2025-12-22_13-48-26,96,0,-96
18,2025-12-22_13-48-26,-293,0,293
19,2025-12-22_13-48-26,-158,0,158
20,2025-12-22_13-48-26,474,0,-474
21,2025-12-22_13-48-26,21038,0,-21038
22,2025-12-22_13-48-26,-3577,0,3577
23,2025-12-22_13-48-26,0,0,0
24,2025-12-22_13-48-26,-5,0,5
25,2025-12-22_13-48-26,-11,0,11
26,2025-12-22_13-48-26,-310,0,310
28,2025-12-22_13-48-26,-7,0,7
29,2025-12-22_13-48-26,-5,0,5
30,2025-12-22_13-48-26,-13,0,13
31,2025-12-22_13-48-26,-157,0,157
266,2025-12-22_13-48-26,-13574,0,13574
662,2025-12-22_13-48-26,-38,0,38
666,2025-12-22_13-48-26,-1010,0,1010
700,2025-12-22_13-48-26,-166,0,166
711,2025-12-22_13-48-26,-2,0,2
725,2025-12-22_13-48-26,1186,0,-1186
759,2025-12-22_13-48-26,1,0,-1
32,2025-12-22_13-48-26,181,0,-181
33,2025-12-22_13-48-26,-36,0,36
34,2025-12-22_13-48-26,-8,0,8
35,2025-12-22_13-48-26,-1,0,1
36,2025-12-22_13-48-26,-1222,0,1222
37,2025-12-22_13-48-26,-443,0,443
38,2025-12-22_13-48-26,-529,0,529
39,2025-12-22_13-48-26,154,0,-154
40,2025-12-22_13-48-26,-70,0,70
41,2025-12-22_13-48-26,-332,0,332
42,2025-12-22_13-48-26,-13,0,13
43,2025-12-22_13-48-26,-258,0,258
44,2025-12-22_13-48-26,-46,0,46
45,2025-12-22_13-48-26,-18,0,18
46,2025-12-22_13-48-26,-5,0,5
47,2025-12-22_13-48-26,75981,0,-75981
48,2025-12-22_13-48-26,149,0,-149
49,2025-12-22_13-48-26,-5,0,5
50,2025-12-22_13-48-26,-400,0,400
51,2025-12-22_13-48-26,0,0,0
53,2025-12-22_13-48-26,-455,0,455
54,2025-12-22_13-48-26,342,0,-342
55,2025-12-22_13-48-26,-10,0,10
56,2025-12-22_13-48-26,0,0,0
57,2025-12-22_13-48-26,-2,0,2
58,2025-12-22_13-48-26,135,0,-135
59,2025-12-22_13-48-26,211,0,-211
60,2025-12-22_13-48-26,-7,0,7
61,2025-12-22_13-48-26,-10,0,10
62,2025-12-22_13-48-26,-1,0,1
63,2025-12-22_13-48-26,92,0,-92
64,2025-12-22_13-48-26,-2728,0,2728
65,2025-12-22_13-48-26,-25,0,25
389,2025-12-22_13-48-26,-65,0,65
456,2025-12-22_13-48-26,30,0,-30
677,2025-12-22_13-48-26,-26,0,26
688,2025-12-22_13-48-26,-19,0,19
701,2025-12-22_13-48-26,-8,0,8
702,2025-12-22_13-48-26,-2,0,2
703,2025-12-22_13-48-26,336,0,-336
710,2025-12-22_13-48-26,-24,0,24
719,2025-12-22_13-48-26,62,0,-62
754,2025-12-22_13-48-26,0,0,0
757,2025-12-22_13-48-26,0,0,0
768,2025-12-22_13-48-26,3,0,-3
183,2025-12-22_13-48-26,-2,0,2
184,2025-12-22_13-48-26,-23,0,23
185,2025-12-22_13-48-26,21,0,-21
186,2025-12-22_13-48-26,-2,0,2
187,2025-12-22_13-48-26,23,0,-23
188,2025-12-22_13-48-26,1,0,-1
189,2025-12-22_13-48-26,-1,0,1
190,2025-12-22_13-48-26,55,0,-55
191,2025-12-22_13-48-26,-3648,0,3648
192,2025-12-22_13-48-26,-150,0,150
193,2025-12-22_13-48-26,-7,0,7
194,2025-12-22_13-48-26,-3,0,3
195,2025-12-22_13-48-26,1,0,-1
196,2025-12-22_13-48-26,-2,0,2
197,2025-12-22_13-48-26,121,0,-121
198,2025-12-22_13-48-26,-427,0,427
199,2025-12-22_13-48-26,11,0,-11
200,2025-12-22_13-48-26,-697,0,697
201,2025-12-22_13-48-26,0,0,0
202,2025-12-22_13-48-26,5,0,-5
203,2025-12-22_13-48-26,3,0,-3
204,2025-12-22_13-48-26,-1,0,1
205,2025-12-22_13-48-26,-241,0,241
206,2025-12-22_13-48-26,19,0,-19
207,2025-12-22_13-48-26,-16,0,16
208,2025-12-22_13-48-26,0,0,0
209,2025-12-22_13-48-26,3,0,-3
210,2025-12-22_13-48-26,-1,0,1
211,2025-12-22_13-48-26,-212,0,212
212,2025-12-22_13-48-26,-1,0,1
213,2025-12-22_13-48-26,10,0,-10
214,2025-12-22_13-48-26,32,0,-32
215,2025-12-22_13-48-26,-306,0,306
216,2025-12-22_13-48-26,-1,0,1
217,2025-12-22_13-48-26,-604,0,604
218,2025-12-22_13-48-26,-115,0,115
219,2025-12-22_13-48-26,-16,0,16
470,2025-12-22_13-48-26,-202,0,202
676,2025-12-22_13-48-26,20,0,-20
680,2025-12-22_13-48-26,172,0,-172
722,2025-12-22_13-48-26,-13,0,13
66,2025-12-22_13-48-26,-6,0,6
67,2025-12-22_13-48-26,-783,0,783
68,2025-12-22_13-48-26,-43,0,43
69,2025-12-22_13-48-26,-2,0,2
70,2025-12-22_13-48-26,-7,0,7
71,2025-12-22_13-48-26,0,0,0
72,2025-12-22_13-48-26,134,0,-134
73,2025-12-22_13-48-26,-21,0,21
74,2025-12-22_13-48-26,-166,0,166
75,2025-12-22_13-48-26,-10,0,10
76,2025-12-22_13-48-26,-6,0,6
77,2025-12-22_13-48-26,-53,0,53
78,2025-12-22_13-48-26,2,0,-2
79,2025-12-22_13-48-26,-10,0,10
80,2025-12-22_13-48-26,5,0,-5
81,2025-12-22_13-48-26,-96,0,96
82,2025-12-22_13-48-26,17899,0,-17899
84,2025-12-22_13-48-26,777,0,-777
